subsr,top_genres
59879000,['TV드라마']
59895000,['TV드라마']
59900000,['교양/다큐멘터리']
59921000,['멜로']
59930000,['TV드라마']
59933000,['예능']
59937000,['드라마']
60026000,['공포/스릴러']
60040000,['액션/어드벤쳐']
60050000,['TV드라마']
60067000,['TV드라마']
60073000,['드라마']
60145000,['액션/어드벤쳐']
60169000,['키즈']
60201000,['액션/어드벤쳐']
60224000,['TV드라마']
60252000,['드라마']
60273000,['드라마']
60304000,['애니메이션']
60306000,['애니메이션']
60310000,['액션/어드벤쳐']
60320000,['TV드라마']
60326000,['TV드라마']
60333000,['드라마']
60338000,['키즈']
60411000,['액션/어드벤쳐']
60463000,['키즈']
60492000,['액션/어드벤쳐']
60495000,['멜로']
60496000,['TV드라마']
60506000,['액션/어드벤쳐']
60510000,['액션/어드벤쳐']
60513000,['키즈']
60543000,['예능']
60550000,['멜로']
60593000,['예능']
60607000,['드라마']
60675000,['액션/어드벤쳐']
60707000,['교양/다큐멘터리']
60784000,['드라마']
60790000,['드라마']
60801000,['멜로']
60824000,['액션/어드벤쳐']
60900000,['예능']
60915000,['키즈']
60918000,['예능']
60939000,['액션/어드벤쳐']
60944000,['예능']
60952000,['예능']
60955000,['TV드라마']
60984000,['예능']
60994000,['교양/다큐멘터리']
61065000,['예능']
61075000,['키즈']
61080000,['예능']
61085000,['액션/어드벤쳐']
61110000,['TV드라마']
61111000,['액션/어드벤쳐']
61113000,['키즈']
61136000,['코미디']
61141000,['예능']
61173000,['액션/어드벤쳐']
61181000,['드라마']
61186000,['TV드라마']
61191000,['TV드라마']
61226000,['드라마']
61227000,['예능']
61238000,['교양/다큐멘터리']
61296000,['드라마']
61297000,['멜로']
61312000,['코미디']
61356000,['예능']
61362000,['액션/어드벤쳐']
61395000,['교양/다큐멘터리']
61408000,['TV드라마']
61492000,['예능']
61573000,['교양/다큐멘터리']
61619000,['애니메이션']
61667000,['멜로']
61671000,['예능']
61683000,['예능']
61689000,['교양/다큐멘터리']
61764000,['TV드라마']
61767000,['액션/어드벤쳐']
61773000,['액션/어드벤쳐']
61779000,['멜로']
61819000,['TV드라마']
61862000,['애니메이션']
61900000,['교양/다큐멘터리']
61916000,['키즈']
61931000,['키즈']
61937000,['멜로']
62007000,['애니메이션']
62015000,['액션/어드벤쳐']
62020000,['예능']
62208000,['액션/어드벤쳐']
62210000,['멜로']
62212000,['예능']
62226000,['액션/어드벤쳐']
62231000,['액션/어드벤쳐']
62248000,['액션/어드벤쳐']
62254000,['멜로']
62287000,['코미디']
62323000,['액션/어드벤쳐']
62353000,['예능']
62358000,['예능']
62366000,['액션/어드벤쳐']
62403000,['예능']
62408000,['멜로']
62421000,['예능']
62444000,['드라마']
62493000,['TV드라마']
62573000,['액션/어드벤쳐']
62613000,['예능']
62637000,['액션/어드벤쳐']
62701000,['예능']
62716000,['예능']
62723000,['액션/어드벤쳐']
62749000,['예능']
62779000,['애니메이션']
62809000,['예능']
62844000,['키즈']
63002000,['드라마']
63016000,['액션/어드벤쳐']
63017000,['멜로']
63024000,['TV드라마']
63030000,['예능']
63031000,['SF/환타지']
63038000,['액션/어드벤쳐']
63048000,['코미디']
63076000,['키즈']
63084000,['예능']
63086000,['키즈']
63101000,['예능']
63117000,['멜로']
63128000,['액션/어드벤쳐']
63308000,['예능']
63331000,['액션/어드벤쳐']
63370000,['드라마']
63380000,['키즈']
63387000,['예능']
63411000,['교양/다큐멘터리']
63419000,['예능']
63665000,['TV드라마']
63743000,['코미디']
63762000,['TV드라마']
63764000,['애니메이션']
63836000,['액션/어드벤쳐']
63844000,['드라마']
64027000,['액션/어드벤쳐']
64040000,['교양/다큐멘터리']
64081000,['TV드라마']
64124000,['TV드라마']
64130000,['예능']
64131000,['액션/어드벤쳐']
64139000,['드라마']
64151000,['액션/어드벤쳐']
64154000,['TV드라마']
64168000,['멜로']
64169000,['드라마']
64218000,['액션/어드벤쳐']
64252000,['TV드라마']
64282000,['액션/어드벤쳐']
64300000,['액션/어드벤쳐']
64329000,['애니메이션']
64348000,['멜로']
64364000,['액션/어드벤쳐']
64370000,['드라마']
64376000,['교양/다큐멘터리']
64385000,['예능']
64386000,['멜로']
64388000,['애니메이션']
64399000,['애니메이션']
64422000,['액션/어드벤쳐']
64443000,['예능']
64479000,['멜로']
64495000,['교양/다큐멘터리']
64520000,['예능']
64521000,['TV드라마']
64536000,['교양/다큐멘터리']
64551000,['애니메이션']
64590000,['TV드라마']
64612000,['액션/어드벤쳐']
64621000,['TV드라마']
64649000,['멜로']
64659000,['교양/다큐멘터리']
64667000,['예능']
64680000,['TV드라마']
64717000,['멜로']
64720000,['TV드라마']
64721000,['사극']
64755000,['드라마']
64756000,['교양/다큐멘터리']
64757000,['액션/어드벤쳐']
64764000,['예능']
64776000,['애니메이션']
64834000,['예능']
64840000,['드라마']
64857000,['액션/어드벤쳐']
64871000,['예능']
64875000,['액션/어드벤쳐']
64928000,['액션/어드벤쳐']
64944000,['키즈']
64959000,['드라마']
64965000,['키즈']
64966000,['액션/어드벤쳐']
64982000,['예능']
64984000,['TV드라마']
65015000,['예능']
65029000,['애니메이션']
65056000,['드라마']
65104000,['예능']
65111000,['액션/어드벤쳐']
65126000,['TV드라마']
65130000,['드라마']
65156000,['액션/어드벤쳐']
65173000,['액션/어드벤쳐']
65183000,['예능']
65195000,['로맨틱코미디']
65204000,['키즈']
65219000,['키즈']
65226000,['코미디']
65242000,['액션/어드벤쳐']
65260000,['교양/다큐멘터리']
65265000,['예능']
65276000,['드라마']
65305000,['액션/어드벤쳐']
65306000,['애니메이션']
65309000,['액션/어드벤쳐']
65328000,['예능']
65332000,['드라마']
65357000,['SF/환타지']
65363000,['예능']
65367000,['액션/어드벤쳐']
65370000,['TV드라마']
65386000,['예능']
65387000,['예능']
65398000,['예능']
65412000,['예능']
65420000,['드라마']
65431000,['TV드라마']
65437000,['코미디']
65442000,['액션/어드벤쳐']
65443000,['예능']
65448000,['코미디']
65463000,['TV드라마']
65514000,['예능']
65526000,['예능']
65530000,['드라마']
65535000,['멜로']
65546000,['액션/어드벤쳐']
65547000,['TV드라마']
65550000,['키즈']
65557000,['TV드라마']
65560000,['예능']
65576000,['드라마']
65594000,['TV드라마']
65624000,['예능']
65630000,['드라마']
65655000,['키즈']
65673000,['액션/어드벤쳐']
65696000,['교양/다큐멘터리']
65704000,['코미디']
65718000,['코미디']
65724000,['키즈']
65726000,['예능']
65743000,['키즈']
65755000,['드라마']
65788000,['코미디']
65795000,['액션/어드벤쳐']
65819000,['교양/다큐멘터리']
65830000,['키즈']
65838000,['드라마']
65846000,['키즈']
65861000,['TV드라마']
65872000,['키즈']
65876000,['멜로']
65879000,['멜로']
65931000,['액션/어드벤쳐']
65934000,['애니메이션']
65941000,['교양/다큐멘터리']
65954000,['TV드라마']
65961000,['드라마']
65999000,['멜로']
66005000,['SF/환타지']
66006000,['액션/어드벤쳐']
66036000,['멜로']
66040000,['키즈']
66041000,['액션/어드벤쳐']
66056000,['TV드라마']
66059000,['교양/다큐멘터리']
66065000,['예능']
66083000,['키즈']
66102000,['예능']
66110000,['예능']
66113000,['애니메이션']
66118000,['드라마']
66159000,['예능']
66163000,['교양/다큐멘터리']
66170000,['드라마']
66176000,['멜로']
66186000,['교양/다큐멘터리']
66189000,['TV드라마']
66224000,['키즈']
66233000,['액션/어드벤쳐']
66254000,['드라마']
66273000,['예능']
66283000,['애니메이션']
66286000,['멜로']
66295000,['애니메이션']
66303000,['애니메이션']
66307000,['교양/다큐멘터리']
66309000,['예능']
66311000,['애니메이션']
66317000,['키즈']
66321000,['예능']
66337000,['멜로']
66348000,['액션/어드벤쳐']
66353000,['교양/다큐멘터리']
66354000,['코미디']
66362000,['멜로']
66363000,['TV드라마']
66387000,['코미디']
66402000,['예능']
66420000,['애니메이션']
66424000,['예능']
66430000,['액션/어드벤쳐']
66437000,['드라마']
66440000,['예능']
66444000,['애니메이션']
66449000,['예능']
66463000,['예능']
66466000,['액션/어드벤쳐']
66476000,['액션/어드벤쳐']
66480000,['액션/어드벤쳐']
66486000,['액션/어드벤쳐']
66496000,['멜로']
66499000,['드라마']
66504000,['키즈']
66517000,['TV드라마']
66519000,['액션/어드벤쳐']
66526000,['키즈']
66529000,['공포/스릴러']
66530000,['멜로']
66540000,['키즈']
66545000,['액션/어드벤쳐']
66576000,['드라마']
66583000,['멜로']
66597000,['액션/어드벤쳐']
66611000,['액션/어드벤쳐']
66617000,['액션/어드벤쳐']
66619000,['키즈']
66620000,['예능']
66637000,['예능']
66656000,['TV드라마']
66658000,['멜로']
66660000,['애니메이션']
66667000,['액션/어드벤쳐']
66676000,['키즈']
66684000,['키즈']
66705000,['TV드라마']
66743000,['드라마']
66744000,['교양/다큐멘터리']
66792000,['예능']
66809000,['액션/어드벤쳐']
66819000,['키즈']
66821000,['액션/어드벤쳐']
66828000,['액션/어드벤쳐']
66835000,['TV드라마']
66838000,['액션/어드벤쳐']
66840000,['교양/다큐멘터리']
66841000,['키즈']
66845000,['애니메이션']
66864000,['교양/다큐멘터리']
66873000,['예능']
66874000,['TV드라마']
66875000,['TV드라마']
66885000,['교양/다큐멘터리']
66889000,['키즈']
66890000,['코미디']
66900000,['키즈']
66937000,['SF/환타지']
66941000,['예능']
66945000,['코미디']
66947000,['액션/어드벤쳐']
66985000,['키즈']
67000000,['키즈']
67008000,['키즈']
67010000,['드라마']
67024000,['드라마']
67033000,['드라마']
67034000,['멜로']
67053000,['멜로']
67055000,['TV드라마']
67070000,['교양/다큐멘터리']
67094000,['액션/어드벤쳐']
67096000,['액션/어드벤쳐']
67106000,['키즈']
67107000,['예능']
67117000,['TV드라마']
67122000,['액션/어드벤쳐']
67126000,['액션/어드벤쳐']
67129000,['애니메이션']
67130000,['멜로']
67140000,['예능']
67148000,['키즈']
67154000,['예능']
67161000,['액션/어드벤쳐']
67164000,['액션/어드벤쳐']
